,Pick,Years After Draft,variable,NHL Probability,Star Probability
155,10,2,Estimate,0.5804751831915461,0.10388521862722155
156,10,3,Estimate,0.7160788868159619,0.147606029877831
157,10,4,Estimate,0.7834379614469804,0.1715990686599615
158,10,5,Estimate,0.8087773434729802,0.20351745649276662
159,10,6,Estimate,0.7954369015431014,0.2304217392048294
160,10,7,Estimate,0.7491424492807384,0.23185990579038945
161,10,8,Estimate,0.6922534509907116,0.2189163120556222
162,10,9,Estimate,0.6505552930597049,0.19694192865345214
163,10,10,Estimate,0.6135463458831396,0.16334498426099822
164,10,11,Estimate,0.5597007101356981,0.14047007495314406
165,10,12,Estimate,0.5002787636176553,0.11970057038254502
166,10,13,Estimate,,
167,10,14,Estimate,,
168,10,15,Estimate,,
169,10,16,Estimate,,
170,11,0,Estimate,0.10512227673898179,0.006614750599393291
171,11,1,Estimate,0.34450649526737337,0.04318588405088445
172,11,2,Estimate,0.5522328429551078,0.09160192619962107
173,11,3,Estimate,0.6947483954682383,0.13402793944945293
174,11,4,Estimate,0.7684265796795717,0.15794749541589115
175,11,5,Estimate,0.7952902584881929,0.18651893219579263
176,11,6,Estimate,0.7810978490907139,0.21131159930857726
177,11,7,Estimate,0.734603706037732,0.213767403989845
178,11,8,Estimate,0.6757271684892325,0.20299165385342308
179,11,9,Estimate,0.6334192145545177,0.182994186972491
180,11,10,Estimate,0.6015821843016226,0.15005677782302027
181,11,11,Estimate,0.5550838978701164,0.12742135694511436
182,11,12,Estimate,0.4976441668637565,0.10597440076103834
183,11,13,Estimate,,
184,11,14,Estimate,,
185,11,15,Estimate,,
186,11,16,Estimate,,
187,12,0,Estimate,0.09037346579453714,0.005646251747474502
188,12,1,Estimate,0.31967893994756885,0.0377388349694184
189,12,2,Estimate,0.5273335979523022,0.08195992344155581
190,12,3,Estimate,0.6745280400300337,0.12339622886931255
191,12,4,Estimate,0.75325398095184,0.14780767561303337
192,12,5,Estimate,0.7820544732325854,0.17333497797331432
193,12,6,Estimate,0.7689827737245736,0.19613229386119851
194,12,7,Estimate,0.7248768694687857,0.19999234296338433
195,12,8,Estimate,0.6664742589012459,0.19055273358598052
196,12,9,Estimate,0.6246211315028928,0.17055925113064818
197,12,10,Estimate,0.5979050410087804,0.1378508331342528
198,12,11,Estimate,0.5583307287730179,0.11648060505821899
199,12,12,Estimate,0.5028115344675196,0.09665714130744375
200,12,13,Estimate,,
201,12,14,Estimate,,
202,12,15,Estimate,,
203,12,16,Estimate,,
204,13,0,Estimate,0.07909892559536025,0.005112300720323816
205,13,1,Estimate,0.29971986050468324,0.033843933498806336
206,13,2,Estimate,0.5056322289764584,0.07460968479770982
207,13,3,Estimate,0.6548918612541335,0.11504698431583513
208,13,4,Estimate,0.7369194033581243,0.14008272757783885
209,13,5,Estimate,0.7681668475619303,0.1632067364206603
210,13,6,Estimate,0.7582731933822402,0.184670750340253
211,13,7,Estimate,0.7185473694588845,0.190490496667515
212,13,8,Estimate,0.662353933471043,0.18162404229956605
213,13,9,Estimate,0.6209960401914197,0.15984279375394317
214,13,10,Estimate,0.597855558266954,0.12678230926199271
